,TF-IDF
геноцид армянин,0.17603859362889226
широковатамбовцева елена,0.11735906241926151
русский поэзия,0.10757914055098972
армения стих,0.10268917961685382
амирханян ереван,0.10024419914978587
армянин русский,0.09290925774858202
ереван айастан,0.08801929681444613
худож лит,0.08801929681444613
сост ред,0.0855743163473782
поэзия сост,0.0855743163473782
ред вступ,0.0855743163473782
очерк мд,0.0855743163473782
ан республика,0.0855743163473782
вступ очерк,0.0855743163473782
ереван национальный,0.0855743163473782
музейинститут геноцид,0.0855743163473782
республика армения,0.0855743163473782
армения музейинститут,0.0855743163473782
мд амирханян,0.0855743163473782
национальный ан,0.0855743163473782
армения перевод,0.08068435541324229
перевод ереван,0.08068435541324229
стих ереван,0.07823937494617435
убия геноцид,0.07823937494617435
друг друг,0.0709044335449705
ереван издво,0.06845945307790255
литературный армения,0.06845945307790255
лирика армения,0.0660144726108346
дневник стих,0.0660144726108346
армения дневник,0.0660144726108346
стих гуманитарий,0.0660144726108346
советский писатель,0.0611245116766987
роман вадимович,0.0611245116766987
вадимович гацкославацкий,0.0611245116766987
портал стихира,0.05867953120963076
гитович стихотворение,0.05623455074256281
ильич вольфсон,0.05623455074256281
армянский поэт,0.05623455074256281
москва ереван,0.05623455074256281
борис ильич,0.05623455074256281
стихотворение худож,0.05623455074256281
сетевой научнокультурологический,0.05378957027549486
россия армения,0.05378957027549486
научнокультурологический журнал,0.05378957027549486
ереван арарат,0.05378957027549486
стихотворение поэма,0.05378957027549486
кланяться ереван,0.05134458980842691
ван стихотворение,0.05134458980842691
берег евфрат,0.05134458980842691
тот пора,0.05134458980842691
арарат стих,0.048899609341358966
авт эривань,0.048899609341358966
письмо ереван,0.048899609341358966
мехер отзвук,0.048899609341358966
предисл примеч,0.048899609341358966
статья письмо,0.048899609341358966
дверь мехер,0.048899609341358966
ерев гос,0.048899609341358966
армянский коммитет,0.048899609341358966
коммитет верашинутюн,0.048899609341358966
примеч авт,0.048899609341358966
стихотворение предисл,0.048899609341358966
стих статья,0.048899609341358966
издво ерев,0.048899609341358966
отзвук ван,0.048899609341358966
гос унт,0.048899609341358966
эривань армянский,0.048899609341358966
избранный перевод,0.04645462887429101
надежда москва,0.04645462887429101
армянский гос,0.04645462887429101
писатель армения,0.04645462887429101
перевод произведение,0.04645462887429101
стих россия,0.04645462887429101
ереван армянский,0.04645462887429101
современный армянский,0.04645462887429101
ереван стих,0.04645462887429101
русский писатель,0.04645462887429101
гос издво,0.04645462887429101
радуга надежда,0.04645462887429101
произведение современный,0.04645462887429101
стих избранный,0.04645462887429101
поэт гуманитарий,0.04645462887429101
сост арешян,0.044009648407223066
арагаста парус,0.044009648407223066
ереван арменгиз,0.044009648407223066
арешян туманян,0.044009648407223066
