,TF-IDF
армения,0.3057328816064071
армянский,0.22331793091250604
ереван,0.19354220679083858
свой,0.169083576262326
твой,0.16163964523190913
земля,0.14515665509312894
гора,0.1424981082965515
стих,0.12867366495434873
камень,0.12069802456461637
арарат,0.11431751225283047
армянин,0.11219067481556852
небо,0.10953212801899107
свет,0.10900041865967557
день,0.10687358122241361
это,0.10421503442583616
сердце,0.09783452211405026
год,0.09677110339541929
душа,0.09570768467678831
мир,0.09411255659884184
народ,0.09145400980226438
наш,0.0903905910836334
рука,0.08879546300568693
мой,0.08826375364637144
стихотворение,0.08613691620910947
мы,0.08560520684979399
век,0.08294666005321653
весь,0.08241495069390105
песня,0.08081982261595456
идти,0.08028811325663908
страна,0.07869298517869261
друг,0.07869298517869261
кровь,0.07762956646006162
вода,0.07762956646006162
жизнь,0.07709785710074614
дорога,0.07603443838211515
человек,0.07603443838211515
глаз,0.07603443838211515
ты,0.07550272902279967
ночь,0.07390760094485319
дом,0.07284418222622221
солнце,0.07178076350759123
стоять,0.07071734478896025
сад,0.06965392607032926
край,0.06859050735169829
тот,0.06540025119580534
становиться,0.06540025119580534
время,0.06486854183648985
пусть,0.0622099950399124
русский,0.06167828568059691
жить,0.06061486696196593
лишь,0.06061486696196593
ветер,0.06061486696196593
который,0.060083157602650435
знать,0.060083157602650435
видеть,0.05955144824333495
поэт,0.05901973888401946
один,0.05795632016538847
снег,0.05742461080607299
слово,0.05582948272812651
древний,0.05582948272812651
старый,0.055297773368811025
царь,0.05476606400949553
храм,0.05423435465018004
любовь,0.05370264529086455
стена,0.051575807853602586
ребенок,0.051575807853602586
пора,0.05104409849428709
бог,0.05051238913497161
сон,0.05051238913497161
все,0.049980679775656116
этот,0.04891726105702513
судьба,0.04891726105702513
черный,0.048385551697709646
скала,0.047853842338394154
город,0.04732213297907866
враг,0.04679042361976317
новый,0.046258714260447684
ван,0.046258714260447684
огонь,0.046258714260447684
путь,0.046258714260447684
два,0.04572700490113219
севан,0.04413187682318572
сын,0.04413187682318572
геноцид,0.04360016746387023
смерть,0.04360016746387023
елена,0.04360016746387023
живой,0.04360016746387023
берег,0.04360016746387023
каменный,0.04306845810455474
туман,0.042536748745239245
сказать,0.042536748745239245
белый,0.04200503938592376
тень,0.04200503938592376
брат,0.04200503938592376
словно,0.04200503938592376
каждый,0.04147333002660827
лицо,0.040941620667292775
слеза,0.04040991130797728
ждать,0.0398782019486618
лететь,0.0398782019486618
петь,0.039346492589346305
любить,0.039346492589346305
говорить,0.039346492589346305
поле,0.039346492589346305
святой,0.03881478323003081
вновь,0.03828307387071532
широковатамбовцева,0.037751364511399835
быть,0.037751364511399835
родной,0.037751364511399835
горный,0.037751364511399835
море,0.037751364511399835
первый,0.03721965515208434
сквозь,0.03721965515208434
волна,0.03668794579276885
книга,0.03668794579276885
сила,0.03615623643345336
река,0.03562452707413787
война,0.03509281771482238
весна,0.03509281771482238
большой,0.03509281771482238
дух,0.03456110835550689
вставать,0.03456110835550689
звезда,0.03456110835550689
память,0.03456110835550689
забывать,0.03456110835550689
смотреть,0.034029398996191396
уходить,0.034029398996191396
цветок,0.034029398996191396
плакать,0.034029398996191396
перевод,0.034029398996191396
дверь,0.034029398996191396
голова,0.03349768963687591
гореть,0.03296598027756042
гитович,0.032434270918244926
поэзия,0.032434270918244926
вершина,0.032434270918244926
боль,0.032434270918244926
мать,0.032434270918244926
надежда,0.03190256155892943
мочь,0.03190256155892943
отец,0.03190256155892943
свобода,0.03190256155892943
горе,0.03137085219961395
айастан,0.03137085219961395
помнить,0.03137085219961395
среди,0.030839142840298456
тоска,0.030839142840298456
тишина,0.030839142840298456
другой,0.030839142840298456
озеро,0.030839142840298456
москва,0.030839142840298456
давать,0.030307433480982963
утро,0.030307433480982963
хотеть,0.030307433480982963
проходить,0.030307433480982963
такой,0.030307433480982963
матусовский,0.030307433480982963
бой,0.030307433480982963
ваш,0.029775724121667475
великий,0.029775724121667475
час,0.029775724121667475
синий,0.029244014762351982
приходить,0.029244014762351982
сост,0.029244014762351982
вечный,0.028712305403036494
пить,0.028712305403036494
седой,0.028712305403036494
речь,0.028712305403036494
находить,0.028712305403036494
лит,0.028712305403036494
