,TF-IDF
мой,0.20289317486844488
твой,0.19687515696980457
свой,0.18225997064453522
жизнь,0.166785067476603
день,0.14013384535405302
земля,0.13841441166872723
любовь,0.13497554429807562
душа,0.1306769600847611
сердце,0.1306769600847611
друг,0.1263783758714466
мы,0.1255186590287837
это,0.12293950850079498
свет,0.12036035797280628
небо,0.11950064113014337
ночь,0.11864092428748048
все,0.11434234007416597
ты,0.11434234007416597
рука,0.10918403901818856
идти,0.10660488849019985
человек,0.10488545480487405
наш,0.10488545480487405
знать,0.10488545480487405
мир,0.10144658743422244
лишь,0.09800772006357082
время,0.09714800322090793
жить,0.09628828637824502
любить,0.09456885269291922
год,0.09456885269291922
тот,0.09370913585025632
слово,0.08941055163694181
один,0.08941055163694181
становиться,0.0868314011089531
сон,0.0868314011089531
глаз,0.08167310005297569
бог,0.07909394952498698
весь,0.07909394952498698
быть,0.07479536531167247
волна,0.07393564846900957
ветер,0.07307593162634667
вода,0.07135649794102086
забывать,0.07049678109835797
стоять,0.06963706425569506
каждый,0.06963706425569506
песня,0.06877734741303215
тень,0.06705791372770635
говорить,0.06705791372770635
давать,0.06533848004238055
белый,0.06447876319971765
дом,0.06447876319971765
видеть,0.06361904635705475
море,0.06361904635705475
дорога,0.06361904635705475
мочь,0.06361904635705475
край,0.06275932951439185
век,0.06275932951439185
пусть,0.06018017898640314
смерть,0.06018017898640314
такой,0.05932046214374024
ребенок,0.05846074530107734
уходить,0.05846074530107734
огонь,0.05846074530107734
пора,0.05760102845841443
петь,0.05588159477308863
словно,0.055021877930425726
снова,0.055021877930425726
снег,0.054162161087762825
берег,0.054162161087762825
этот,0.054162161087762825
милый,0.053302444245099924
путь,0.053302444245099924
оставаться,0.053302444245099924
солнце,0.053302444245099924
черный,0.053302444245099924
хотеть,0.05244272740243702
который,0.05244272740243702
ждать,0.05158301055977412
судьба,0.05158301055977412
помнить,0.05158301055977412
сказать,0.05072329371711122
город,0.04986357687444831
гора,0.04986357687444831
лицо,0.04986357687444831
глядеть,0.04900386003178541
звезда,0.04728442634645961
живой,0.04728442634645961
стена,0.045564992661133806
река,0.045564992661133806
новый,0.044705275818470905
проходить,0.044705275818470905
верить,0.044705275818470905
давно,0.043845558975808004
смотреть,0.043845558975808004
тоска,0.043845558975808004
сила,0.0429858421331451
кровь,0.0429858421331451
страна,0.042126125290482194
счастие,0.04126640844781929
понимать,0.04126640844781929
другой,0.04126640844781929
враг,0.04126640844781929
гореть,0.04040669160515639
лететь,0.03954697476249349
сад,0.03954697476249349
весна,0.03954697476249349
час,0.03868725791983059
облако,0.03868725791983059
поле,0.03868725791983059
окно,0.03782754107716769
око,0.03782754107716769
вновь,0.03782754107716769
утро,0.03782754107716769
стих,0.03696782423450479
мечта,0.03696782423450479
тьма,0.03696782423450479
печаль,0.03696782423450479
последний,0.03696782423450479
родной,0.03696782423450479
память,0.036108107391841886
слеза,0.036108107391841886
женщина,0.036108107391841886
солдат,0.036108107391841886
поэт,0.036108107391841886
спать,0.035248390549178985
грудь,0.035248390549178985
надежда,0.035248390549178985
старый,0.035248390549178985
золотой,0.035248390549178985
звук,0.034388673706516076
умирать,0.034388673706516076
камень,0.034388673706516076
первый,0.033528956863853175
дело,0.033528956863853175
вечер,0.032669240021190274
звать,0.032669240021190274
выходить,0.032669240021190274
речь,0.032669240021190274
голос,0.032669240021190274
оставлять,0.032669240021190274
дождь,0.032669240021190274
узнавать,0.032669240021190274
какой,0.03180952317852737
луч,0.03180952317852737
лес,0.03180952317852737
находить,0.03180952317852737
чужой,0.03094980633586447
земной,0.03094980633586447
имя,0.03094980633586447
народ,0.03094980633586447
туман,0.03094980633586447
сегодня,0.03094980633586447
сквозь,0.03094980633586447
лежать,0.03009008949320157
голова,0.03009008949320157
иль,0.03009008949320157
еще,0.03009008949320157
след,0.03009008949320157
играть,0.03009008949320157
ложиться,0.03009008949320157
пустой,0.03009008949320157
нести,0.03009008949320157
пойти,0.02923037265053867
светлый,0.02923037265053867
дверь,0.02923037265053867
полный,0.02923037265053867
конец,0.02923037265053867
она,0.02923037265053867
думать,0.028370655807875764
заря,0.028370655807875764
самый,0.028370655807875764
мать,0.028370655807875764
воздух,0.028370655807875764
холодный,0.028370655807875764
трава,0.028370655807875764
оно,0.027510938965212863
искать,0.027510938965212863
тревога,0.027510938965212863
страсть,0.027510938965212863
нежный,0.027510938965212863
взгляд,0.027510938965212863
темный,0.027510938965212863
зеленый,0.027510938965212863
пред,0.027510938965212863
лист,0.026651222122549962
сидеть,0.026651222122549962
сын,0.026651222122549962
святой,0.026651222122549962
прийти,0.026651222122549962
кто,0.026651222122549962
молодой,0.026651222122549962
взять,0.02579150527988706
вечный,0.02579150527988706
иной,0.02579150527988706
себя,0.02579150527988706
пока,0.02579150527988706
встречать,0.02579150527988706
приходить,0.02579150527988706
взор,0.02579150527988706
ночной,0.02579150527988706
скала,0.02579150527988706
никто,0.02579150527988706
бой,0.024931788437224156
русский,0.024931788437224156
плыть,0.024931788437224156
родина,0.024931788437224156
толпа,0.024931788437224156
бежать,0.024931788437224156
слышать,0.024931788437224156
тихий,0.024931788437224156
цветок,0.024931788437224156
миг,0.024931788437224156
большой,0.024931788437224156
плакать,0.024931788437224156
москва,0.024931788437224156
свобода,0.024931788437224156
плечо,0.024072071594561255
бродить,0.024072071594561255
война,0.024072071594561255
песок,0.024072071594561255
покой,0.024072071594561255
красота,0.024072071594561255
слава,0.024072071594561255
ум,0.024072071594561255
он,0.024072071594561255
ль,0.024072071594561255
птица,0.024072071594561255
бросать,0.024072071594561255
высокий,0.024072071594561255
вместе,0.024072071594561255
вернуться,0.023212354751898354
тишина,0.023212354751898354
дерево,0.023212354751898354
дым,0.023212354751898354
скоро,0.023212354751898354
книга,0.023212354751898354
место,0.023212354751898354
вставать,0.023212354751898354
дрожать,0.023212354751898354
седой,0.022352637909235452
столько,0.022352637909235452
губа,0.022352637909235452
хороший,0.022352637909235452
позабывать,0.022352637909235452
счастливый,0.022352637909235452
рассвет,0.022352637909235452
буря,0.022352637909235452
великий,0.022352637909235452
вера,0.022352637909235452
каменный,0.022352637909235452
нога,0.022352637909235452
боль,0.022352637909235452
язык,0.022352637909235452
океан,0.02149292106657255
маленький,0.02149292106657255
бояться,0.02149292106657255
синий,0.02149292106657255
дух,0.02149292106657255
меж,0.02149292106657255
мертвый,0.02149292106657255
спешить,0.02149292106657255
легкий,0.02149292106657255
ответ,0.02149292106657255
юный,0.020633204223909647
молчать,0.020633204223909647
веселый,0.020633204223909647
прекрасный,0.020633204223909647
зима,0.020633204223909647
юность,0.020633204223909647
мысль,0.020633204223909647
роза,0.020633204223909647
входить,0.020633204223909647
средь,0.020633204223909647
просто,0.020633204223909647
простор,0.020633204223909647
радость,0.020633204223909647
горе,0.020633204223909647
осенний,0.020633204223909647
тихо,0.019773487381246745
среди,0.019773487381246745
открывать,0.019773487381246745
нужный,0.019773487381246745
часто,0.019773487381246745
уста,0.019773487381246745
чувство,0.019773487381246745
мука,0.019773487381246745
дышать,0.019773487381246745
храм,0.019773487381246745
прах,0.019773487381246745
далекий,0.019773487381246745
дорогой,0.019773487381246745
вино,0.019773487381246745
стекло,0.019773487381246745
писать,0.018913770538583844
цвет,0.018913770538583844
немой,0.018913770538583844
ваш,0.018913770538583844
сам,0.018913770538583844
корабль,0.018913770538583844
очень,0.018913770538583844
луна,0.018913770538583844
готовый,0.018913770538583844
подымать,0.018054053695920943
пудель,0.018054053695920943
детство,0.018054053695920943
пускай,0.018054053695920943
туча,0.018054053695920943
страшный,0.018054053695920943
отец,0.018054053695920943
конь,0.018054053695920943
рядом,0.018054053695920943
пыль,0.018054053695920943
крыло,0.018054053695920943
просыпаться,0.018054053695920943
улыбка,0.018054053695920943
сколько,0.018054053695920943
верный,0.018054053695920943
увидеть,0.018054053695920943
дева,0.018054053695920943
греза,0.018054053695920943
пустыня,0.017194336853258038
подниматься,0.017194336853258038
чистый,0.017194336853258038
могила,0.017194336853258038
колено,0.017194336853258038
ветка,0.017194336853258038
береза,0.017194336853258038
расти,0.017194336853258038
даль,0.017194336853258038
дальний,0.017194336853258038
минута,0.017194336853258038
волос,0.017194336853258038
соловей,0.017194336853258038
просить,0.017194336853258038
россия,0.017194336853258038
глубина,0.017194336853258038
мрак,0.017194336853258038
кругом,0.017194336853258038
чтото,0.017194336853258038
древний,0.017194336853258038
спина,0.017194336853258038
шептать,0.016334620010595137
назад,0.016334620010595137
закат,0.016334620010595137
природа,0.016334620010595137
шаг,0.016334620010595137
вперед,0.016334620010595137
вечность,0.016334620010595137
холм,0.016334620010595137
хотя,0.016334620010595137
грозный,0.016334620010595137
мгла,0.016334620010595137
ко,0.016334620010595137
навсегда,0.016334620010595137
смочь,0.016334620010595137
долгий,0.015474903167932236
ктото,0.015474903167932236
вечно,0.015474903167932236
голубой,0.015474903167932236
бить,0.015474903167932236
долина,0.015474903167932236
должный,0.015474903167932236
шуметь,0.015474903167932236
начинать,0.015474903167932236
сторона,0.015474903167932236
чудный,0.015474903167932236
чудо,0.015474903167932236
улыбаться,0.015474903167932236
бледный,0.015474903167932236
казаться,0.015474903167932236
жена,0.015474903167932236
беда,0.015474903167932236
рана,0.015474903167932236
садиться,0.015474903167932236
картина,0.015474903167932236
пламень,0.015474903167932236
читать,0.015474903167932236
вид,0.015474903167932236
ради,0.015474903167932236
знакомый,0.015474903167932236
лето,0.015474903167932236
дар,0.015474903167932236
цвести,0.014615186325269335
вечерний,0.014615186325269335
ах,0.014615186325269335
уставать,0.014615186325269335
простой,0.014615186325269335
осень,0.014615186325269335
приносить,0.014615186325269335
смех,0.014615186325269335
страдание,0.014615186325269335
рано,0.014615186325269335
лебединый,0.014615186325269335
хранить,0.014615186325269335
барак,0.014615186325269335
воля,0.014615186325269335
улица,0.014615186325269335
сей,0.014615186325269335
звенеть,0.014615186325269335
вспомнить,0.014615186325269335
долго,0.014615186325269335
мимо,0.014615186325269335
тонкий,0.014615186325269335
шум,0.014615186325269335
единый,0.014615186325269335
пустота,0.014615186325269335
едва,0.014615186325269335
красный,0.014615186325269335
черт,0.014615186325269335
добрый,0.013755469482606432
восторг,0.013755469482606432
победа,0.013755469482606432
касаться,0.013755469482606432
мост,0.013755469482606432
бывать,0.013755469482606432
тяжелый,0.013755469482606432
страх,0.013755469482606432
стучать,0.013755469482606432
зло,0.013755469482606432
письмо,0.013755469482606432
погасать,0.013755469482606432
прощать,0.013755469482606432
высота,0.013755469482606432
принимать,0.013755469482606432
мечтать,0.013755469482606432
убивать,0.013755469482606432
битва,0.013755469482606432
вдали,0.013755469482606432
старик,0.013755469482606432
рай,0.013755469482606432
горький,0.013755469482606432
морской,0.013755469482606432
зеркало,0.013755469482606432
хлеб,0.013755469482606432
звучать,0.013755469482606432
стол,0.013755469482606432
спасать,0.013755469482606432
точно,0.013755469482606432
краса,0.013755469482606432
покидать,0.013755469482606432
слепой,0.013755469482606432
широкий,0.013755469482606432
нежность,0.013755469482606432
смешной,0.013755469482606432
рождаться,0.013755469482606432
наступать,0.013755469482606432
беречь,0.013755469482606432
взлетать,0.01289575263994353
целый,0.01289575263994353
свободный,0.01289575263994353
чей,0.01289575263994353
сумрак,0.01289575263994353
горячий,0.01289575263994353
труд,0.01289575263994353
они,0.01289575263994353
палец,0.01289575263994353
бедный,0.01289575263994353
видно,0.01289575263994353
сниться,0.01289575263994353
скрывать,0.01289575263994353
гроб,0.01289575263994353
парус,0.01289575263994353
два,0.01289575263994353
мало,0.01289575263994353
прозрачный,0.01289575263994353
пена,0.01289575263994353
знак,0.01289575263994353
розовый,0.01289575263994353
зверь,0.01289575263994353
длинный,0.01289575263994353
дно,0.01289575263994353
внимать,0.01289575263994353
отчизна,0.01289575263994353
часы,0.01289575263994353
лодка,0.01289575263994353
блеск,0.01289575263994353
тянуться,0.01289575263994353
бытие,0.01289575263994353
былой,0.01289575263994353
литься,0.01289575263994353
кровавый,0.01289575263994353
серый,0.01289575263994353
однажды,0.012036035797280627
ручей,0.012036035797280627
всетака,0.012036035797280627
честь,0.012036035797280627
начинаться,0.012036035797280627
упасть,0.012036035797280627
рот,0.012036035797280627
праздник,0.012036035797280627
вспоминать,0.012036035797280627
тайный,0.012036035797280627
проживать,0.012036035797280627
плоть,0.012036035797280627
прошлое,0.012036035797280627
брать,0.012036035797280627
встречаться,0.012036035797280627
дикий,0.012036035797280627
господь,0.012036035797280627
обнимать,0.012036035797280627
бездна,0.012036035797280627
тысяча,0.012036035797280627
прежний,0.012036035797280627
нужно,0.012036035797280627
желание,0.012036035797280627
являться,0.012036035797280627
ничто,0.012036035797280627
влюбленный,0.012036035797280627
голубь,0.012036035797280627
сиять,0.012036035797280627
вести,0.012036035797280627
исчезать,0.012036035797280627
молитва,0.012036035797280627
меч,0.012036035797280627
пожар,0.012036035797280627
гость,0.012036035797280627
правда,0.012036035797280627
род,0.012036035797280627
сто,0.012036035797280627
село,0.012036035797280627
ребята,0.012036035797280627
родимый,0.012036035797280627
печальный,0.012036035797280627
бывало,0.012036035797280627
цель,0.012036035797280627
желтый,0.012036035797280627
тропа,0.012036035797280627
парк,0.012036035797280627
сверкать,0.012036035797280627
ходить,0.012036035797280627
свеча,0.012036035797280627
весенний,0.012036035797280627
одинокий,0.012036035797280627
мгновение,0.012036035797280627
страшно,0.011176318954617726
стонать,0.011176318954617726
забвение,0.011176318954617726
ложь,0.011176318954617726
царь,0.011176318954617726
бровь,0.011176318954617726
посылать,0.011176318954617726
объятие,0.011176318954617726
дыхание,0.011176318954617726
делать,0.011176318954617726
август,0.011176318954617726
сильно,0.011176318954617726
движение,0.011176318954617726
быстро,0.011176318954617726
безумный,0.011176318954617726
вселенная,0.011176318954617726
молиться,0.011176318954617726
глина,0.011176318954617726
