,Document_1,Document_2
γρηγορέω,0.2958404860902604,0.20204465136881075
аа,0.2632153513020619,0.19605180154007484
аахматов,0.21609218114419024,0.18149773767028762
абажур,0.16361265143774403,0.16608755239639528
абакумов,0.1564095787329377,0.13954778886913624
абамеликов,0.14045991774372366,0.13783554606092596
аббасамирза,0.13788739177772139,0.13441106044450546
абгар,0.12451025675450961,0.1301304534239798
абгарович,0.11679267885650281,0.1301304534239798
абдулгамид,0.11061861653809738,0.12584984640345415
абовян,0.10856059576529557,0.12499372499934902
абрам,0.1059880697992933,0.12242536078703363
абрикос,0.10547356460609285,0.11985699657471824
абрикосовый,0.10341554383329105,0.11900087517061311
абрис,0.10084301786728878,0.11814475376650797
абсолютно,0.09466895554888334,0.11386414674598233
абсолютный,0.09363994516248243,0.11386414674598233
абстрактно,0.09261093477608152,0.10872741832135155
абстрактность,0.09106741919648018,0.10615905410903616
абсурдно,0.0884948932304779,0.10444681130082589
абусимбел,0.087465882844077,0.10444681130082589
абхазский,0.08592236726447564,0.10444681130082589
ава,0.08540786207127518,0.10102232568440538
авандельта,0.08334984129847338,0.09759784006798485
аванский,0.08283533610527292,0.09674171866387972
аванц,0.08026281013927065,0.0958855972597746
аварайр,0.0797483049460702,0.09417335445156433
аварайрская,0.07820478936646885,0.09417335445156433
аварайрский,0.0776902841732684,0.0933172330474592
аватарка,0.07614676859366704,0.08903662602693355
авгар,0.07614676859366704,0.08903662602693355
авгарь,0.07511775820726613,0.08646826181461816
август,0.07511775820726613,0.08646826181461816
августовский,0.07460325301406567,0.08133153338998737
авелука,0.07357424262766477,0.07876316917767198
авель,0.07357424262766477,0.07876316917767198
аветик,0.07357424262766477,0.07448256215714634
ависаг,0.07305973743446431,0.0736264407530412
авитаминоз,0.07151622185486296,0.07277031934893607
авлабар,0.07048721146846205,0.07105807654072581
авось,0.06945820108206115,0.07020195513662068
аврора,0.06842919069566024,0.06934583373251556
австерлица,0.06740018030925933,0.06934583373251556
австрия,0.06637116992285842,0.06848971232841042
авт,0.06328413876365571,0.06677746952020017
автобус,0.06328413876365571,0.06677746952020017
автограф,0.06291136143758073,0.0650652267119899
автокатастрофа,0.06276963357045526,0.06420910530788478
автомат,0.060197107604452994,0.06420910530788478
автомобиль,0.06001888504964599,0.06335298390377964
автопортрет,0.05968260241125254,0.06335298390377964
автор,0.0592957659526623,0.06335298390377964
автострада,0.05865359202485163,0.06335298390377964
ага,0.05865359202485163,0.06249686249967451
агава,0.05865359202485163,0.06249686249967451
агавеливать,0.058139086831651185,0.05992849828735912
агавель,0.058139086831651185,0.05992849828735912
агаветь,0.05762458163845073,0.05907237688325399
