,Word,Frequency
0,армения,564
1,армянский,415
2,ереван,364
3,м,310
4,арарат,212
5,гора,210
6,армянин,207
7,стих,199
8,камень,187
9,стихотворение,160
10,народ,136
11,земля,112
12,свой,106
13,страна,99
14,кровь,96
15,л,92
16,царь,90
17,ван,87
18,русский,87
19,сад,85
20,древний,85
21,севан,83
22,век,83
23,геноцид,82
24,храм,79
25,елена,77
26,твой,75
27,солнце,73
28,год,72
29,г,72
30,песня,72
31,два,71
32,н,70
33,широковатамбовцева,70
34,горный,69
35,дорога,69
36,поэт,69
37,брат,67
38,небо,67
39,свет,65
40,вода,63
41,весь,63
42,старый,63
43,дом,62
44,скала,60
45,гитович,60
46,айастан,59
47,мир,59
48,перевод,58
49,матусовский,56
50,край,56
51,сост,55
52,каменный,55
53,лит,54
54,это,53
55,сын,52
56,стоять,52
57,который,52
58,т,52
59,озеро,51
60,поэзия,50
61,писатель,50
62,вершина,49
63,издво,48
64,амирханян,48
65,наш,48
66,ковчег,48
67,глаз,48
68,пусть,47
69,гацкославацкий,47
70,гуманитарий,46
71,снег,45
72,вольфсон,44
73,стена,44
74,пить,44
75,туман,44
76,е,44
77,хачкар,42
78,книга,42
79,святой,42
80,церковь,42
81,крест,40
82,дух,40
83,литературный,40
84,рука,40
85,враг,40
86,отец,39
87,краска,39
88,гос,39
89,вставать,38
90,день,38
91,сочинение,38
92,война,38
93,видеть,38
94,габриэлян,38
95,звягинцев,38
96,п,37
97,очерк,37
98,виноград,37
99,автор,37
100,большой,37
101,ред,36
102,ан,36
103,республика,36
104,избранный,36
105,худож,36
106,турок,36
107,национальный,36
108,эривань,36
109,мд,35
110,среди,35
111,музейинститут,35
112,новый,35
113,цветок,35
114,горе,35
115,вступ,35
116,боль,35
117,плакать,35
118,долина,34
119,слеза,34
120,сквозь,34
121,туманян,34
122,ваш,34
123,желтый,34
124,кубатьян,33
125,б,32
126,сердце,32
127,сей,32
128,развалины,32
129,убия,32
130,журнал,32
131,судьба,32
132,р,31
133,сарьян,31
134,первый,31
135,свобода,31
136,тишина,31
137,город,31
138,ереванский,30
139,синий,30
140,ущелие,30
141,евфрат,30
142,великий,30
143,дверь,30
144,беда,30
145,далеко,30
146,саркис,30
147,закат,30
148,литература,29
149,крик,29
150,пора,29
151,черный,29
152,ветер,29
153,поле,29
154,лететь,29
155,ребенок,29
156,немой,29
157,вино,29
158,произведение,29
159,москва,29
160,этот,29
161,роман,28
162,голова,28
163,мать,28
164,бой,28
165,зной,28
166,лирика,28
167,вновь,28
168,душа,28
169,седой,28
170,селение,28
171,портал,28
172,печальный,28
173,туф,28
174,родной,28
175,горячий,28
176,живой,27
177,мгла,27
178,дневник,27
179,идти,27
180,поэма,27
181,арцах,27
182,пир,27
183,красный,27
184,склон,27
185,солнечный,27
186,стон,27
187,турецкий,27
188,д,27
189,россия,26
190,тело,26
191,ной,26
192,эчмиадзин,26
193,монастырь,26
194,далекий,26
195,страшный,26
196,вести,26
197,григоров,26
198,природа,26
199,путь,25
200,прощать,25
201,памятник,25
202,вдали,25
203,художник,25
204,восток,25
205,увидеть,25
206,городецкий,25
207,приходить,25
208,собр,25
209,сборник,25
210,восставать,24
211,грох,24
212,история,24
213,советский,24
214,стихира,24
215,погибать,24
216,кровавый,24
217,араратский,24
218,вечный,24
219,шуваевапетросян,24
220,лоза,23
221,видный,23
222,слава,23
223,сетевой,23
224,вадимович,23
225,цвести,23
226,комитас,23
227,пасть,23
228,занг,23
229,еврей,23
230,левон,23
231,бежать,23
232,память,23
233,становиться,22
234,баюбай,22
235,радуга,22
236,труд,22
237,сжигать,22
238,отзвук,22
239,гайк,22
240,борис,22
241,борьба,22
242,ильич,22
243,научнокультурологический,22
244,могила,22
245,ряд,22
246,наири,22
247,горький,22
248,слышать,21
249,плита,21
250,сказать,21
251,ссылка,21
252,гранат,21
253,публикация,21
254,лаваш,21
255,современный,21
256,рана,21
257,цепь,21
258,луна,21
259,парус,21
260,человек,21
261,он,20
262,мехер,20
263,карабах,20
264,пшат,20
265,звартноц,20
266,предисл,20
267,течь,20
268,коммитет,20
269,весна,20
270,примеч,20
271,священный,20
272,авт,20
273,добрый,20
274,молитва,20
275,скорбный,20
276,ерев,20
277,злой,20
278,унт,20
279,цвет,20
280,верашинутюн,20
281,плод,20
282,исаакян,20
283,былой,20
284,гегард,19
285,спасать,19
286,потоп,19
287,вестник,19
288,хлеб,19
289,ползти,19
290,дерево,19
291,вокруг,19
292,вера,19
293,столетие,19
294,надежда,19
295,пахнуть,19
296,огонь,19
297,юг,19
298,орел,19
299,аня,19
300,вид,19
301,кулебякин,19
302,кланяться,19
303,берег,19
304,стадо,19
305,климов,19
306,лицо,19
307,столица,19
308,сотня,18
309,арагаста,18
310,статья,18
311,выпуск,18
312,взор,18
313,спускаться,18
314,собака,18
315,костер,18
316,страх,18
317,сила,18
318,худой,18
319,арешян,18
320,арменгиз,18
321,гроза,18
322,купол,17
323,том,17
324,буква,17
325,ах,17
326,роза,17
327,дудук,17
328,туча,17
329,пожар,17
330,дно,17
331,пещера,17
332,вековой,17
333,рассказ,17
334,предел,17
335,дикий,17
336,хранить,17
337,пис,17
338,стамбул,17
339,находить,17
340,советакан,17
341,когдатый,17
342,хотеться,17
343,арагац,17
344,свод,16
345,повсюду,16
346,абрикос,16
347,божий,16
348,внизу,16
349,нагорный,16
350,входить,16
351,дата,16
352,исход,16
353,нагорье,16
354,власть,16
355,письмо,16
356,обрыв,16
357,брюсов,16
358,речь,16
359,меч,16
360,струна,16
361,знамя,16
362,бакинский,16
363,резня,16
364,христос,16
365,славный,16
366,вагаршапат,16
367,собирать,16
368,снегов,15
369,высота,15
370,открывать,15
371,масис,15
372,хребет,15
373,гореть,15
374,словно,15
375,тяжкий,15
376,армгосиздат,15
377,правда,15
378,ходить,15
379,проза,15
380,сам,15
381,мы,15
382,пламень,15
383,летний,15
384,строка,15
385,близкий,15
386,сова,15
387,зангезур,15
388,близко,15
389,ждать,15
390,сэд,15
391,узкий,15
392,господь,15
393,страница,15
394,дождь,15
395,дым,15
396,собрание,15
397,круг,15
398,кипеть,15
399,жертва,15
400,аракса,15
401,глас,15
402,амирам,15
403,военный,15
404,высокий,15
405,мл,15
406,помощь,15
407,осень,15
408,тот,14
409,труп,14
410,светлый,14
411,нога,14
412,восходить,14
413,библейский,14
414,бедный,14
415,тайна,14
416,дмитрий,14
417,имя,14
418,радость,14
419,собираться,14
420,странный,14
421,родник,14
422,узор,14
423,гарня,14
424,чаренец,14
425,медленно,14
426,река,14
427,жена,14
428,самый,14
429,се,14
430,шуша,14
431,николаевский,14
432,держать,14
433,курд,14
434,рыдать,14
435,кавказ,14
436,гаспарять,14
437,спасение,14
438,слух,14
439,турция,14
440,минаков,14
441,удар,14
442,сладкий,14
443,битва,14
444,даниелевна,14
445,птица,14
446,войско,14
447,утес,14
448,неведомый,14
449,свеча,14
450,божественный,14
451,племя,14
452,бессмертие,14
453,конь,14
454,климова,14
455,воин,14
456,запах,14
457,любой,14
458,часть,14
459,грозный,14
460,прекрасный,13
461,язык,13
462,современник,13
463,музыка,13
464,карниз,13
465,резьба,13
466,ахтамар,13
467,утро,13
468,глухой,13
469,разорять,13
470,ванский,13
471,остаток,13
472,художественный,13
473,строгий,13
474,биться,13
475,искать,13
476,страж,13
477,стремиться,13
478,маштоц,13
479,шахвердяный,13
480,девушка,13
481,лик,13
482,тигран,13
483,улица,13
484,смотреть,13
485,прятаться,13
486,базальтовый,13
487,гордый,13
488,шаганэ,13
489,граница,13
490,опубликовывать,13
491,ашуг,13
492,горечь,13
493,простереть,13
494,бить,13
495,открываться,13
496,овца,13
497,мрак,13
498,сражать,13
499,ее,13
500,очаг,13
501,зреть,13
502,ода,13
503,седина,12
504,проливать,12
505,мастерская,12
506,открытый,12
507,коньяк,12
508,конец,12
509,ар,12
510,герой,12
511,разный,12
512,возвышать,12
513,фонтан,12
514,разрушать,12
515,персидский,12
516,зурна,12
517,нина,12
518,алфавит,12
519,карс,12
520,арутюнов,12
521,красивый,12
522,средь,12
523,смеяться,12
524,птичий,12
525,огненный,12
526,кавказский,12
527,крепость,12
528,пепел,12
529,мед,12
530,ужас,12
531,мысль,12
532,смерть,12
533,полет,12
534,скорбь,12
535,себя,12
536,зона,12
537,плыть,12
538,моление,12
539,чей,12
540,воспевать,12
541,похожий,12
542,кричать,12
543,старинный,12
544,михайловна,12
545,рассвет,12
546,рыжий,12
547,шатер,12
548,север,12
549,страдание,12
550,заря,12
551,полотно,12
552,огромный,12
553,что,11
554,ованес,11
555,ухо,11
556,заплыв,11
557,гром,11
558,тысяча,11
559,лед,11
560,плач,11
561,поэтический,11
562,ковер,11
563,сергей,11
564,спать,11
565,победа,11
566,алтарь,11
567,зима,11
568,зуб,11
569,погосян,11
570,побеждать,11
571,виться,11
572,серия,11
573,эпоха,11
574,родина,11
575,мусульманин,11
576,час,11
577,рождаться,11
578,летчик,11
579,дудин,11
580,кажется,11
581,триптих,11
582,исток,11
583,кров,11
584,немврод,11
585,печь,11
586,караван,11
587,холст,11
588,взбираться,11
589,порог,11
590,невзгода,11
591,подымать,11
592,алый,11
593,написание,11
