,Word,Frequency
0,"('айва', 'синий')","(1, 1)"
1,"('святой', 'свой')","(1, 1)"
2,"('пусть', 'говорить')","(1, 1)"
3,"('пусть', 'день')","(1, 1)"
4,"('пусть', 'исчезать')","(1, 1)"
5,"('пусть', 'тронуть')","(1, 1)"
6,"('пусть', 'ты')","(1, 1)"
7,"('путь', 'находить')","(1, 1)"
8,"('путь', 'пускаться')","(1, 1)"
9,"('пчелиный', 'рой')","(1, 1)"
10,"('пылать', 'тополь')","(1, 1)"
11,"('пыль', 'глаз')","(1, 1)"
12,"('пыль', 'звать')","(1, 1)"
13,"('пятно', 'кровь')","(1, 1)"
14,"('р', 'ф')","(1, 1)"
15,"('рабствовать', 'пред')","(1, 1)"
16,"('равнина', 'лес')","(1, 1)"
17,"('пусть', 'время')","(1, 1)"
18,"('пусть', 'быть')","(1, 1)"
19,"('пустыня', 'небо')","(1, 1)"
20,"('проходить', 'двадцать')","(1, 1)"
21,"('простой', 'слово')","(1, 1)"
22,"('протягивать', 'рука')","(1, 1)"
23,"('профиль', 'тамара')","(1, 1)"
24,"('проходить', 'век')","(1, 1)"
25,"('проходить', 'время')","(1, 1)"
26,"('проходить', 'год')","(1, 1)"
27,"('прохожий', 'дразнить')","(1, 1)"
28,"('пустота', 'стена')","(1, 1)"
29,"('прочитывать', 'стих')","(1, 1)"
30,"('прощать', 'прощать')","(1, 1)"
31,"('прямо', 'колумб')","(1, 1)"
32,"('публикация', 'журнал')","(1, 1)"
33,"('пустой', 'камень')","(1, 1)"
34,"('пустота', 'поле')","(1, 1)"
35,"('радость', 'горе')","(1, 1)"
36,"('радость', 'становиться')","(1, 1)"
37,"('радужный', 'игра')","(1, 1)"
38,"('река', 'знать')","(1, 1)"
39,"('ребенок', 'один')","(1, 1)"
40,"('ребенок', 'пусть')","(1, 1)"
41,"('ребенок', 'расти')","(1, 1)"
42,"('ребята', 'черный')","(1, 1)"
43,"('река', 'век')","(1, 1)"
44,"('река', 'дно')","(1, 1)"
45,"('река', 'кровь')","(1, 1)"
46,"('ребенок', 'внук')","(1, 1)"
47,"('река', 'ледяной')","(1, 1)"
48,"('река', 'нестись')","(1, 1)"
49,"('река', 'новый')","(1, 1)"
50,"('река', 'свет')","(1, 1)"
51,"('река', 'стоять')","(1, 1)"
52,"('речь', 'дышать')","(1, 1)"
53,"('ребенок', 'костер')","(1, 1)"
54,"('ребенок', 'видеть')","(1, 1)"
55,"('развалины', 'дворец')","(1, 1)"
56,"('рай', 'петь')","(1, 1)"
57,"('развертываться', 'ковер')","(1, 1)"
58,"('разный', 'невольно')","(1, 1)"
59,"('разрушать', 'дом')","(1, 1)"
60,"('разрушение', 'мечтание')","(1, 1)"
61,"('разум', 'это')","(1, 1)"
62,"('рай', 'земной')","(1, 1)"
63,"('райский', 'сад')","(1, 1)"
64,"('рвать', 'клок')","(1, 1)"
65,"('рана', 'душа')","(1, 1)"
66,"('рана', 'жить')","(1, 1)"
67,"('рана', 'излечивать')","(1, 1)"
68,"('рассвет', 'переправа')","(1, 1)"
69,"('рассвет', 'уснуть')","(1, 1)"
70,"('расти', 'сынок')","(1, 1)"
71,"('просто', 'белый')","(1, 1)"
72,"('простереться', 'рука')","(1, 1)"
73,"('простереть', 'рука')","(1, 1)"
74,"('последний', 'клен')","(1, 1)"
75,"('попадать', 'сюда')","(1, 1)"
76,"('пора', 'все')","(1, 1)"
77,"('пора', 'укрываться')","(1, 1)"
78,"('поражение', 'победа')","(1, 1)"
79,"('порыв', 'страсть')","(1, 1)"
80,"('последний', 'глоток')","(1, 1)"
81,"('последний', 'сила')","(1, 1)"
82,"('понимать', 'твой')","(1, 1)"
83,"('последний', 'слово')","(1, 1)"
84,"('последний', 'успевать')","(1, 1)"
85,"('поутру', 'становиться')","(1, 1)"
86,"('поэт', 'восточный')","(1, 1)"
87,"('поэт', 'преступный')","(1, 1)"
88,"('поэт', 'прославлять')","(1, 1)"
89,"('понимать', 'это')","(1, 1)"
90,"('понимать', 'обнимать')","(1, 1)"
91,"('поэтому', 'мы')","(1, 1)"
92,"('помнить', 'гора')","(1, 1)"
93,"('положено', 'армянин')","(1, 1)"
94,"('полоса', 'яблоко')","(1, 1)"
95,"('полотно', 'сарьяновский')","(1, 1)"
96,"('полюбить', 'голова')","(1, 1)"
97,"('померкнуть', 'свобода')","(1, 1)"
98,"('помнить', 'блокадный')","(1, 1)"
99,"('помнить', 'лето')","(1, 1)"
100,"('понимать', 'мир')","(1, 1)"
101,"('помнить', 'мой')","(1, 1)"
102,"('помнить', 'ночь')","(1, 1)"
103,"('помнить', 'помнить')","(1, 1)"
104,"('помчаться', 'бой')","(1, 1)"
105,"('поникать', 'голова')","(1, 1)"
106,"('понимать', 'весь')","(1, 1)"
107,"('поэт', 'российский')","(1, 1)"
108,"('прадед', 'саак')","(1, 1)"
109,"('промчаться', 'год')","(1, 1)"
110,"('приподымать', 'бровь')","(1, 1)"
111,"('привозить', 'ты')","(1, 1)"
112,"('привыкать', 'жить')","(1, 1)"
113,"('придумывать', 'ты')","(1, 1)"
114,"('прийти', 'средь')","(1, 1)"
115,"('приносить', 'молчать')","(1, 1)"
116,"('припадать', 'грудь')","(1, 1)"
117,"('присылать', 'сюда')","(1, 1)"
118,"('привет', 'ты')","(1, 1)"
119,"('приходить', 'весна')","(1, 1)"
120,"('приходить', 'мир')","(1, 1)"
121,"('пробовать', 'палец')","(1, 1)"
122,"('пробуждаться', 'грозный')","(1, 1)"
123,"('проживать', 'день')","(1, 1)"
124,"('пролагать', 'путь')","(1, 1)"
125,"('привидеться', 'мы')","(1, 1)"
126,"('прибавлять', 'сила')","(1, 1)"
127,"('праздник', 'весна')","(1, 1)"
128,"('пред', 'смерть')","(1, 1)"
129,"('пред', 'господь')","(1, 1)"
130,"('пред', 'древность')","(1, 1)"
131,"('пред', 'дрожать')","(1, 1)"
132,"('пред', 'мы')","(1, 1)"
133,"('пред', 'она')","(1, 1)"
134,"('пред', 'себя')","(1, 1)"
135,"('пред', 'тот')","(1, 1)"
136,"('преступный', 'народ')","(1, 1)"
137,"('пред', 'ты')","(1, 1)"
138,"('предавать', 'второй')","(1, 1)"
139,"('предавать', 'друг')","(1, 1)"
140,"('предо', 'я')","(1, 1)"
141,"('прежний', 'год')","(1, 1)"
142,"('прекрасный', 'каждый')","(1, 1)"
143,"('ривкатовна', 'газизов')","(1, 1)"
144,"('рим', 'свобода')","(1, 1)"
145,"('род', 'людской')","(1, 1)"
146,"('светлый', 'час')","(1, 1)"
147,"('свет', 'целительный')","(1, 1)"
148,"('светить', 'отрадный')","(1, 1)"
149,"('светло', 'тот')","(1, 1)"
150,"('светлый', 'день')","(1, 1)"
151,"('светлый', 'мысль')","(1, 1)"
152,"('светлый', 'праздник')","(1, 1)"
153,"('свеча', 'гореть')","(1, 1)"
154,"('свет', 'тьма')","(1, 1)"
155,"('свеча', 'загораться')","(1, 1)"
156,"('свидетель', 'ужас')","(1, 1)"
157,"('свобода', 'армения')","(1, 1)"
158,"('свобода', 'родина')","(1, 1)"
159,"('свобода', 'слава')","(1, 1)"
160,"('свобода', 'среди')","(1, 1)"
161,"('свет', 'узнавать')","(1, 1)"
162,"('свет', 'ты')","(1, 1)"
163,"('сводить', 'ум')","(1, 1)"
164,"('свет', 'луч')","(1, 1)"
165,"('сверкать', 'ярко')","(1, 1)"
166,"('свертывать', 'румб')","(1, 1)"
167,"('свет', 'дальний')","(1, 1)"
168,"('свет', 'другой')","(1, 1)"
169,"('свет', 'душа')","(1, 1)"
170,"('свет', 'забывать')","(1, 1)"
171,"('свет', 'любовь')","(1, 1)"
172,"('свет', 'томиться')","(1, 1)"
173,"('свет', 'надежда')","(1, 1)"
174,"('свет', 'ныне')","(1, 1)"
175,"('свет', 'облако')","(1, 1)"
176,"('свет', 'свет')","(1, 1)"
177,"('свет', 'тень')","(1, 1)"
178,"('свет', 'тихо')","(1, 1)"
179,"('сводить', 'глаз')","(1, 1)"
180,"('свой', 'бедный')","(1, 1)"
181,"('сверкать', 'красота')","(1, 1)"
182,"('свой', 'сила')","(1, 1)"
183,"('свой', 'рука')","(1, 1)"
184,"('свой', 'сад')","(1, 1)"
185,"('свой', 'свершать')","(1, 1)"
186,"('свой', 'свеча')","(1, 1)"
187,"('свой', 'свобода')","(1, 1)"
188,"('свой', 'сердце')","(1, 1)"
189,"('свой', 'сказать')","(1, 1)"
190,"('свой', 'потомство')","(1, 1)"
191,"('свой', 'скрывать')","(1, 1)"
192,"('свой', 'творение')","(1, 1)"
193,"('свой', 'чужой')","(1, 1)"
194,"('свой', 'эйнштейн')","(1, 1)"
195,"('святой', 'вода')","(1, 1)"
196,"('святой', 'гора')","(1, 1)"
197,"('свой', 'пространство')","(1, 1)"
198,"('свой', 'помнить')","(1, 1)"
199,"('свой', 'владыка')","(1, 1)"
200,"('свой', 'клад')","(1, 1)"
201,"('свой', 'грех')","(1, 1)"
202,"('свой', 'дело')","(1, 1)"
203,"('свой', 'друг')","(1, 1)"
204,"('свой', 'душа')","(1, 1)"
205,"('свой', 'дыхание')","(1, 1)"
206,"('свой', 'жаркий')","(1, 1)"
207,"('свой', 'кровь')","(1, 1)"
208,"('свой', 'повсюду')","(1, 1)"
209,"('свой', 'мечта')","(1, 1)"
210,"('свой', 'народ')","(1, 1)"
211,"('свой', 'невеста')","(1, 1)"
212,"('свой', 'одежда')","(1, 1)"
213,"('свой', 'оставлять')","(1, 1)"
214,"('свой', 'поведывать')","(1, 1)"
215,"('сверкать', 'словно')","(1, 1)"
216,"('сатана', 'турция')","(1, 1)"
217,"('род', 'народ')","(1, 1)"
218,"('рубин', 'отливать')","(1, 1)"
219,"('рождаться', 'мочь')","(1, 1)"
220,"('роза', 'персик')","(1, 1)"
221,"('роза', 'цвести')","(1, 1)"
222,"('роман', 'вадимович')","(1, 1)"
223,"('роса', 'привидеться')","(1, 1)"
224,"('роща', 'сонный')","(1, 1)"
225,"('рубиновый', 'заря')","(1, 1)"
226,"('рожать', 'яркий')","(1, 1)"
227,"('рука', 'держать')","(1, 1)"
228,"('рука', 'камень')","(1, 1)"
229,"('рука', 'меч')","(1, 1)"
230,"('рука', 'мой')","(1, 1)"
231,"('рука', 'опускать')","(1, 1)"
232,"('рука', 'пожимать')","(1, 1)"
233,"('рождаться', 'восток')","(1, 1)"
234,"('рожать', 'мука')","(1, 1)"
235,"('рука', 'ребенок')","(1, 1)"
236,"('родной', 'близкий')","(1, 1)"
237,"('родимый', 'земля')","(1, 1)"
238,"('родимый', 'край')","(1, 1)"
239,"('родина', 'мой')","(1, 1)"
240,"('родина', 'наш')","(1, 1)"
241,"('родина', 'свой')","(1, 1)"
242,"('родник', 'выситься')","(1, 1)"
243,"('родной', 'даль')","(1, 1)"
244,"('родной', 'страна')","(1, 1)"
245,"('родной', 'долина')","(1, 1)"
246,"('родной', 'земля')","(1, 1)"
247,"('родной', 'край')","(1, 1)"
248,"('родной', 'кровь')","(1, 1)"
249,"('родной', 'место')","(1, 1)"
250,"('родной', 'сторона')","(1, 1)"
251,"('рука', 'пусть')","(1, 1)"
252,"('рука', 'рука')","(1, 1)"
253,"('сарьяновский', 'краска')","(1, 1)"
254,"('сам', 'закат')","(1, 1)"
255,"('саак', 'улыбаться')","(1, 1)"
256,"('сад', 'берег')","(1, 1)"
257,"('сад', 'листва')","(1, 1)"
258,"('сад', 'осенний')","(1, 1)"
259,"('сад', 'цвести')","(1, 1)"
260,"('садиться', 'огонь')","(1, 1)"
261,"('сам', 'себя')","(1, 1)"
262,"('саак', 'отец')","(1, 1)"
263,"('сам', 'слушать')","(1, 1)"
264,"('сам', 'строить')","(1, 1)"
265,"('самуилович', 'черешня')","(1, 1)"
266,"('самый', 'дело')","(1, 1)"
267,"('самый', 'небо')","(1, 1)"
268,"('самый', 'страшный')","(1, 1)"
269,"('саак', 'стоять')","(1, 1)"
270,"('саак', 'который')","(1, 1)"
271,"('рука', 'свой')","(1, 1)"
272,"('русло', 'молчать')","(1, 1)"
273,"('рука', 'сердце')","(1, 1)"
274,"('рука', 'синица')","(1, 1)"
275,"('рука', 'тепло')","(1, 1)"
276,"('рука', 'туда')","(1, 1)"
277,"('румб', 'изумруд')","(1, 1)"
278,"('руно', 'неподкупный')","(1, 1)"
279,"('русский', 'воин')","(1, 1)"
280,"('саак', 'иосиф')","(1, 1)"
281,"('русский', 'язык')","(1, 1)"
282,"('рушиться', 'безоглядный')","(1, 1)"
283,"('рыдать', 'она')","(1, 1)"
284,"('рыжий', 'глина')","(1, 1)"
285,"('ряд', 'улочка')","(1, 1)"
286,"('рядовой', 'иосиф')","(1, 1)"
287,"('полный', 'сокровище')","(1, 1)"
288,"('полный', 'любовь')","(1, 1)"
289,"('полный', 'луна')","(1, 1)"
290,"('обо', 'все')","(1, 1)"
291,"('обвивать', 'плющ')","(1, 1)"
292,"('обещание', 'звук')","(1, 1)"
293,"('облако', 'плыть')","(1, 1)"
294,"('обломок', 'стена')","(1, 1)"
295,"('обнимать', 'любовь')","(1, 1)"
296,"('обнимать', 'твой')","(1, 1)"
297,"('оборваться', 'нить')","(1, 1)"
298,"('ночь', 'уходить')","(1, 1)"
299,"('оборона', 'справа')","(1, 1)"
300,"('образ', 'любить')","(1, 1)"
301,"('образ', 'милый')","(1, 1)"
302,"('образ', 'твой')","(1, 1)"
303,"('обрызгивать', 'роса')","(1, 1)"
304,"('обряд', 'замечать')","(1, 1)"
305,"('нужный', 'человек')","(1, 1)"
306,"('ночь', 'темный')","(1, 1)"
307,"('ованес', 'туманян')","(1, 1)"
308,"('ночь', 'бежать')","(1, 1)"
309,"('новый', 'свет')","(1, 1)"
310,"('новый', 'сила')","(1, 1)"
311,"('новый', 'счастливый')","(1, 1)"
312,"('новый', 'тетрадь')","(1, 1)"
313,"('нога', 'стремя')","(1, 1)"
314,"('носить', 'ребенок')","(1, 1)"
315,"('ночь', 'встречать')","(1, 1)"
316,"('ночь', 'спать')","(1, 1)"
317,"('ночь', 'длинный')","(1, 1)"
318,"('ночь', 'звенеть')","(1, 1)"
319,"('ночь', 'идти')","(1, 1)"
320,"('ночь', 'луна')","(1, 1)"
321,"('ночь', 'напролет')","(1, 1)"
322,"('ночь', 'приходить')","(1, 1)"
323,"('объятие', 'целовать')","(1, 1)"
324,"('огневой', 'бархатный')","(1, 1)"
325,"('новый', 'мир')","(1, 1)"
326,"('околдовывать', 'сердце')","(1, 1)"
327,"('оживать', 'камень')","(1, 1)"
328,"('озеро', 'волна')","(1, 1)"
329,"('окно', 'дверь')","(1, 1)"
330,"('окно', 'смотреть')","(1, 1)"
331,"('око', 'быстрый')","(1, 1)"
332,"('оковы', 'лед')","(1, 1)"
333,"('олеговна', 'ватутин')","(1, 1)"
334,"('однажды', 'видеть')","(1, 1)"
335,"('она', 'боже')","(1, 1)"
336,"('они', 'они')","(1, 1)"
337,"('оно', 'входить')","(1, 1)"
338,"('опаливать', 'огонь')","(1, 1)"
339,"('описывать', 'день')","(1, 1)"
340,"('опустеть', 'дом')","(1, 1)"
341,"('однажды', 'прийти')","(1, 1)"
342,"('однажды', 'вернуться')","(1, 1)"
343,"('огонь', 'дым')","(1, 1)"
344,"('огромный', 'корзина')","(1, 1)"
345,"('огонь', 'кровь')","(1, 1)"
346,"('огонь', 'наш')","(1, 1)"
347,"('огонь', 'сон')","(1, 1)"
348,"('огонь', 'шоссе')","(1, 1)"
349,"('огонь', 'это')","(1, 1)"
350,"('огород', 'старый')","(1, 1)"
351,"('один', 'все')","(1, 1)"
352,"('один', 'фонтан')","(1, 1)"
353,"('один', 'заветный')","(1, 1)"
354,"('один', 'один')","(1, 1)"
355,"('один', 'поэт')","(1, 1)"
356,"('один', 'пробуждаться')","(1, 1)"
357,"('один', 'сторона')","(1, 1)"
358,"('один', 'тот')","(1, 1)"
359,"('новый', 'мода')","(1, 1)"
360,"('новый', 'журнал')","(1, 1)"
361,"('осенний', 'день')","(1, 1)"
362,"('небо', 'земля')","(1, 1)"
