,Word,Frequency
0,мой,70
1,любовь,56
2,жизнь,49
3,все,39
4,любить,36
5,солдат,24
6,оставаться,21
7,океан,20
8,холодный,19
9,пудель,19
10,давать,19
11,око,19
12,сегодня,18
13,мечта,18
14,барак,17
15,оно,17
16,забывать,17
17,волна,17
18,снова,17
19,очень,16
20,лебединый,16
21,быть,16
22,береза,16
23,чудный,15
24,соловей,15
25,юность,14
26,стекло,14
27,верить,14
28,мочь,14
29,часто,14
30,пускай,13
31,милый,13
32,прийти,13
33,столько,13
34,парк,13
35,давно,13
36,тревога,12
37,бледный,12
38,нежность,12
39,ради,12
40,женщина,12
41,позабывать,12
42,такой,12
43,она,11
44,подумать,11
45,хороший,11
46,черт,11
47,юный,11
48,мимо,11
49,лора,11
50,всетака,11
51,минута,11
52,морской,11
53,скворец,11
54,часы,10
55,встречаться,10
56,девица,10
57,чувство,10
58,зыбкий,10
59,рыцарь,10
60,взлетать,10
61,греза,10
62,безымянный,10
63,август,10
64,беречь,10
65,песок,10
66,темнота,10
67,просыпаться,10
68,иль,9
69,кроме,9
70,старушка,9
71,лодка,9
72,ребята,9
73,существо,9
74,глядеть,9
75,непонятный,9
76,погасать,9
77,рыба,9
78,начинаться,9
79,пуканец,9
80,знать,9
81,нравиться,9
82,корабль,9
83,ответ,9
84,шея,8
85,сидеть,8
86,смутный,8
87,улыбаться,8
88,волга,8
89,голубь,8
90,лес,8
91,понимать,8
92,птичка,8
93,бродить,8
94,молодость,8
95,старость,8
96,май,8
97,тайный,8
98,вместе,8
99,спешить,8
100,пустой,8
101,незнакомый,8
102,выходить,8
103,смешной,8
104,поселок,8
105,гипс,8
106,издалека,8
107,пустота,8
108,вернуться,8
109,лист,8
110,алайский,8
111,пышный,8
112,влюбленный,8
113,мол,7
114,украсть,7
115,лет,7
116,нести,7
117,нега,7
118,туманный,7
119,канал,7
120,сто,7
121,мера,7
122,улыбка,7
123,рифма,7
124,венеция,7
125,восторг,7
126,навсегда,7
127,знакомый,7
128,окошко,7
129,хата,7
130,волос,7
131,гофман,7
132,вдвоем,7
133,петербургский,7
134,юноша,7
135,покуда,7
136,плохой,7
137,просить,7
138,спокойный,7
139,арфа,7
140,гаснуть,7
141,нежный,7
142,веселый,6
143,свидание,6
144,деваться,6
145,глухо,6
146,простор,6
147,бытие,6
148,бывало,6
149,жаворонок,6
150,какнибудь,6
151,наслаждение,6
152,вчерашний,6
153,пример,6
154,расставаться,6
155,отдых,6
156,июнь,6
157,резной,6
158,дача,6
159,фронт,6
160,рано,6
161,болото,6
162,здоровый,6
163,словацкий,6
164,еще,6
165,почитать,6
166,чтонибудь,6
167,фигляр,6
168,уныло,6
169,рукопись,6
170,яд,6
171,мелькать,6
172,счастливый,6
173,блокада,6
174,пена,6
175,спина,6
176,повеять,6
177,сумрак,6
178,тревожный,6
179,роса,6
180,лампа,6
181,агент,6
182,ложь,6
183,нежно,6
184,промчаться,6
185,пакет,6
186,душистый,6
187,саван,6
188,детство,6
189,лебедь,6
190,ноябрь,6
191,никуда,6
192,сон,6
193,буря,6
194,губить,6
195,богиня,6
196,господи,6
197,бессонница,6
198,осторожно,6
199,спиливать,6
200,шинель,6
201,патимат,6
202,мыслить,6
203,вышина,6
204,колено,6
205,форум,5
206,неслышно,5
207,искусство,5
208,слегка,5
209,гармония,5
210,страшно,5
211,миг,5
212,попадать,5
213,атаман,5
214,сквозняк,5
215,взрослый,5
216,уберегать,5
217,смерч,5
218,улетать,5
219,чистота,5
220,объятие,5
221,ничто,5
222,поверять,5
223,бомба,5
224,ветерок,5
225,целость,5
226,отдельность,5
227,расфасовывать,5
228,ямщик,5
229,московский,5
230,краса,5
231,забвение,5
232,кот,5
233,альманах,5
234,ленинградский,5
235,осколок,5
236,ветхий,5
237,мачта,5
238,мена,5
239,загипсовать,5
240,товарищ,5
241,исправность,5
242,баррикада,5
243,серафим,5
244,верно,5
245,мучить,5
246,хотя,5
247,баллада,5
248,замолкать,5
249,осенний,5
250,революция,5
251,лодочка,5
252,прозерпин,5
253,тыл,5
254,цель,5
255,заснуть,5
256,вагон,5
257,осыпаться,5
258,пророчить,5
259,сохранность,5
260,легкость,5
261,прилетать,5
262,невольный,5
263,читать,5
264,суворов,5
265,наблюдать,5
266,любовный,5
267,легкий,5
268,чтото,5
269,танк,5
270,сердечный,5
271,прелесть,5
272,цена,5
273,отрада,5
274,плес,5
275,полночный,5
276,наперекор,5
277,таить,5
278,березовый,5
279,пышно,5
280,угол,5
281,рейн,5
282,вешний,5
283,стучать,5
284,журчать,5
285,любезный,5
286,одеяло,5
287,трепет,5
288,новость,5
289,прошлое,5
290,терпение,5
291,палисад,5
292,щелка,4
293,манить,4
294,клен,4
295,калитка,4
296,трубка,4
297,метроном,4
298,венера,4
299,надобно,4
300,казенный,4
301,веха,4
302,отдаваться,4
303,впервые,4
304,мерцание,4
305,свершаться,4
306,птенец,4
307,бумага,4
308,медный,4
309,паук,4
310,перрон,4
311,разводить,4
312,школьный,4
313,ина,4
314,обычный,4
315,ависаг,4
316,водный,4
317,будущее,4
318,дунай,4
319,мраморный,4
320,маша,4
321,связь,4
322,говорить,4
323,цезарь,4
324,психея,4
325,отныне,4
326,тесно,4
327,толстый,4
328,дуб,4
329,кичиться,4
330,наступать,4
331,братислава,4
332,паровоз,4
333,строчка,4
334,назад,4
335,проток,4
336,спальня,4
337,дочка,4
338,сбиваться,4
339,пускать,4
340,единый,4
341,призрак,4
342,неизменно,4
343,вологдегдегдегде,4
344,примеривать,4
345,узнавать,4
346,ибо,4
347,золотой,4
348,пристальный,4
349,немота,4
350,скучный,4
351,царевич,4
352,останки,4
353,грезить,4
354,бедняк,4
355,анна,4
356,темноглазый,4
357,разливать,4
358,ежедневно,4
359,зыбь,4
360,носиться,4
361,статуя,4
362,нужно,4
363,нищий,4
364,наслаждаться,4
365,блаженство,4
366,чаща,4
367,вологдегде,4
368,обвивать,4
369,весы,4
370,уходить,4
371,окраина,4
372,жалить,4
373,кувшинка,4
374,пытаться,4
375,эх,4
376,пепельный,4
377,изменять,4
378,утеха,4
379,желать,4
380,поплыть,4
381,брег,4
382,свинцовый,4
383,обвинять,4
384,система,4
385,моряк,4
386,менять,4
387,беспредельный,4
388,кинешма,4
389,в,4
390,ложиться,4
391,снимать,4
392,пленительный,4
393,череда,4
394,утешение,4
395,нездешний,4
396,сильно,4
397,ужин,4
398,колоться,4
399,вагонный,4
400,лапа,4
401,хотеть,4
402,бревно,4
403,кондуктор,4
404,шепот,4
405,сыпать,4
406,понемногу,4
407,магазин,4
408,зеведей,4
409,начинать,4
410,ершалаим,4
411,наедине,4
412,сосна,4
413,закатный,4
414,скрип,4
415,сочувствовать,4
416,мерцать,4
417,звонкий,4
418,верный,4
419,штукатурка,4
420,вздыхать,4
421,чейто,4
422,блокадный,4
423,матросский,4
424,витя,4
425,достигать,4
426,парикмахерша,4
427,раковина,4
428,парнас,4
429,грош,4
430,дремучий,4
431,книжка,4
432,мышь,4
433,оказываться,4
434,остро,4
435,экспроприатор,4
436,сломать,4
437,кенгуру,4
438,сменять,3
439,грустить,3
440,любоваться,3
441,поспать,3
442,оканчиваться,3
443,зелье,3
444,подруга,3
445,усталость,3
446,скамья,3
447,брать,3
448,прекрасно,3
449,каплан,3
450,еле,3
451,обо,3
452,пароход,3
453,ежечасно,3
454,разбитый,3
455,чушь,3
456,однако,3
457,сохранять,3
458,одиноко,3
459,перебирать,3
460,теребить,3
461,упование,3
462,идеал,3
463,нужный,3
464,омут,3
465,потомуто,3
466,компьютерный,3
467,походка,3
468,шелест,3
469,денек,3
470,разлука,3
471,ничком,3
472,передний,3
473,рдеть,3
474,проплывать,3
475,страждущий,3
476,сумерки,3
477,тащить,3
478,чахнуть,3
479,прибивать,3
480,отвечать,3
481,клуб,3
482,метель,3
483,разбиваться,3
484,ясно,3
485,долгожданный,3
486,батарея,3
487,рябина,3
488,игла,3
489,ставня,3
490,выползать,3
491,провод,3
492,удалой,3
493,колыхание,3
494,металл,3
495,суша,3
496,ведущий,3
497,разрешать,3
498,кабак,3
499,дыхание,3
500,платить,3
501,анахорет,3
502,ерусалим,3
503,чтение,3
504,виновный,3
505,сатана,3
506,лазурный,3
507,утверждать,3
508,неожиданный,3
509,мебель,3
510,лепет,3
511,свинья,3
512,состариться,3
513,остальное,3
514,помирать,3
515,теплота,3
516,чемто,3
517,осина,3
518,умывать,3
519,низкий,3
520,домик,3
521,беззащитный,3
522,загадывать,3
523,хутор,3
524,неживой,3
525,заклятый,3
526,смех,3
527,весло,3
528,надежный,3
529,истаивать,3
530,попутный,3
531,монолог,3
532,сбываться,3
533,кашлять,3
534,клевер,3
535,крейсер,3
536,хлебников,3
537,гуд,3
538,привал,3
539,измятый,3
540,напролет,3
541,теплушка,3
542,джульетта,3
543,речной,3
544,посочувствовать,3
545,пылинка,3
546,кухня,3
547,погибший,3
548,кончаться,3
549,величие,3
550,насвистывать,3
551,смолоду,3
552,наряд,3
553,опушка,3
554,обласкивать,3
555,ниц,3
556,сирень,3
557,античный,3
558,безотрадный,3
559,отказ,3
560,атина,3
561,член,3
562,пистолет,3
563,опыт,3
564,какой,3
565,спасительный,3
566,поверх,3
567,попрежнему,3
568,росный,3
569,мятежный,3
570,оковывать,3
571,рокотать,3
572,давнымдавно,3
573,недовольный,3
574,лень,3
575,риза,3
576,ложка,3
577,ещѐ,3
578,стукнуть,3
579,тамбур,3
580,браунинг,3
581,беззаботный,3
582,врываться,3
583,срок,3
584,земляничный,3
585,сетовать,3
586,никак,3
587,стирать,3
588,полететь,3
589,клятва,3
590,иаков,3
591,потолок,3
592,макарий,3
593,к,3
594,захотеть,3
595,разница,3
596,отрадный,3
597,реять,3
598,застава,3
599,дырявый,3
600,бассейн,3
601,антикварный,3
602,кругом,3
603,уверенный,3
604,дарить,3
605,преграда,3
606,высказывать,3
607,благословлять,3
608,арбат,3
609,вдохновение,3
610,куликовый,3
611,половодье,3
612,немецкий,3
613,перо,3
614,парить,3
615,назло,3
616,внезапный,3
617,волновать,3
618,кончик,3
619,властно,3
620,ветка,3
621,расплачиваться,3
622,позвать,3
623,накидка,3
624,семейный,3
625,младенческий,3
626,вчера,3
627,тапочек,3
628,запоздалый,3
629,кассия,3
630,лацо,3
631,италия,3
632,орхидея,3
633,серый,3
